,lineup_ids,lineup_names,points_allowed,points_scored
111,203507 - 203089 - 203114 - 203101 - 202349,"Antetokounmpo,Giannis - Henson,John - Middleton,Khris - Plumlee,Miles - Vasquez,Greivis",8.0,5.0
112,201573 - 203487 - 203114 - 202328 - 202349,"Bayless,Jerryd - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Vasquez,Greivis",5.0,7.0
113,201573 - 203487 - 202328 - 203953 - 1626173,"Bayless,Jerryd - Carter-Williams,Michael - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",8.0,7.3
114,201573 - 203142 - 201564 - 202328 - 202349,"Bayless,Jerryd - Copeland,Chris - Mayo,O.J. - Monroe,Greg - Vasquez,Greivis",9.0,12.0
115,201573 - 203089 - 203114 - 203948 - 202349,"Bayless,Jerryd - Henson,John - Middleton,Khris - O'Bryant III,Johnny - Vasquez,Greivis",5.4,7.0
116,203507 - 201573 - 201564 - 203953 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Mayo,O.J. - Parker,Jabari - Vasquez,Greivis",6.0,7.0
117,203507 - 203089 - 203101 - 202349 - 1626173,"Antetokounmpo,Giannis - Henson,John - Plumlee,Miles - Vasquez,Greivis - Vaughn,Rashad",12.0,6.0
118,201573 - 203089 - 203948 - 202349 - 1626173,"Bayless,Jerryd - Henson,John - O'Bryant III,Johnny - Vasquez,Greivis - Vaughn,Rashad",7.0,10.5
119,203089 - 203114 - 203953 - 203101 - 202349,"Henson,John - Middleton,Khris - Parker,Jabari - Plumlee,Miles - Vasquez,Greivis",4.0,7.0
120,203507 - 201573 - 203487 - 203101 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Plumlee,Miles - Vasquez,Greivis",2.0,2.0
121,203507 - 201573 - 203089 - 201564 - 203948,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Mayo,O.J. - O'Bryant III,Johnny",7.0,7.0
122,203507 - 203898 - 203089 - 203114 - 203101,"Antetokounmpo,Giannis - Ennis,Tyler - Henson,John - Middleton,Khris - Plumlee,Miles",6.0,7.7
123,203507 - 203089 - 202328 - 203953 - 1626173,"Antetokounmpo,Giannis - Henson,John - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",14.0,5.0
124,203487 - 203898 - 202328 - 203948 - 1626173,"Carter-Williams,Michael - Ennis,Tyler - Monroe,Greg - O'Bryant III,Johnny - Vaughn,Rashad",9.0,4.0
125,203487 - 203114 - 202328 - 203948 - 202349,"Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny - Vasquez,Greivis",8.0,5.0
126,203142 - 203898 - 203089 - 201564 - 203948,"Copeland,Chris - Ennis,Tyler - Henson,John - Mayo,O.J. - O'Bryant III,Johnny",7.0,5.0
127,203507 - 201573 - 203487 - 203114 - 203101,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Middleton,Khris - Plumlee,Miles",5.3,4.3
128,203507 - 201573 - 203487 - 202328 - 203953,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Monroe,Greg - Parker,Jabari",6.0,5.2
129,203507 - 201573 - 203487 - 203953 - 203101,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Parker,Jabari - Plumlee,Miles",7.0,7.0
130,203507 - 201573 - 203089 - 203114 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Middleton,Khris - Vasquez,Greivis",6.0,5.0
131,203507 - 203487 - 203114 - 203953 - 203101,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - Parker,Jabari - Plumlee,Miles",6.0,5.3
132,201573 - 203142 - 203948 - 203101 - 1626173,"Bayless,Jerryd - Copeland,Chris - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",4.0,4.0
133,203487 - 203996 - 203948 - 203101 - 1626173,"Carter-Williams,Michael - Inglis,Damien - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",6.5,4.0
134,203898 - 203996 - 203948 - 202349 - 1626173,"Ennis,Tyler - Inglis,Damien - O'Bryant III,Johnny - Vasquez,Greivis - Vaughn,Rashad",4.0,13.0
135,203507 - 201573 - 203089 - 203114 - 203948,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Middleton,Khris - O'Bryant III,Johnny",5.6,4.3
136,203507 - 203487 - 203089 - 203948 - 1626173,"Antetokounmpo,Giannis - Carter-Williams,Michael - Henson,John - O'Bryant III,Johnny - Vaughn,Rashad",6.6,4.6
137,203507 - 203487 - 203114 - 202328 - 1626173,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Vaughn,Rashad",5.8,7.6
138,203507 - 203089 - 201564 - 203114 - 203948,"Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Middleton,Khris - O'Bryant III,Johnny",4.0,6.0
139,201573 - 201564 - 202328 - 203948 - 202349,"Bayless,Jerryd - Mayo,O.J. - Monroe,Greg - O'Bryant III,Johnny - Vasquez,Greivis",2.0,9.0
140,201573 - 203114 - 202328 - 203948 - 203953,"Bayless,Jerryd - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny - Parker,Jabari",3.0,5.0
141,203487 - 203089 - 203114 - 203953 - 1626173,"Carter-Williams,Michael - Henson,John - Middleton,Khris - Parker,Jabari - Vaughn,Rashad",8.8,4.5
142,203089 - 201564 - 203948 - 203953 - 1626173,"Henson,John - Mayo,O.J. - O'Bryant III,Johnny - Parker,Jabari - Vaughn,Rashad",6.0,2.0
143,203507 - 201573 - 203114 - 203948 - 203101,"Antetokounmpo,Giannis - Bayless,Jerryd - Middleton,Khris - O'Bryant III,Johnny - Plumlee,Miles",5.5,7.0
144,203507 - 203487 - 203089 - 202328 - 1626173,"Antetokounmpo,Giannis - Carter-Williams,Michael - Henson,John - Monroe,Greg - Vaughn,Rashad",7.0,5.0
145,203507 - 203487 - 202328 - 203948 - 202349,"Antetokounmpo,Giannis - Carter-Williams,Michael - Monroe,Greg - O'Bryant III,Johnny - Vasquez,Greivis",7.0,8.0
146,203507 - 203089 - 203996 - 203953 - 202349,"Antetokounmpo,Giannis - Henson,John - Inglis,Damien - Parker,Jabari - Vasquez,Greivis",8.0,4.0
147,201573 - 203487 - 203114 - 202328 - 203953,"Bayless,Jerryd - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Parker,Jabari",6.2,7.2
148,201573 - 203089 - 203114 - 202328 - 203953,"Bayless,Jerryd - Henson,John - Middleton,Khris - Monroe,Greg - Parker,Jabari",11.0,6.0
149,201573 - 203089 - 203948 - 203953 - 1626173,"Bayless,Jerryd - Henson,John - O'Bryant III,Johnny - Parker,Jabari - Vaughn,Rashad",5.0,5.0
150,201573 - 201564 - 203114 - 202328 - 203953,"Bayless,Jerryd - Mayo,O.J. - Middleton,Khris - Monroe,Greg - Parker,Jabari",6.6,7.0
151,201573 - 203114 - 203948 - 203101 - 1626173,"Bayless,Jerryd - Middleton,Khris - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",8.0,3.0
