,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
321,"101108,200755,201599,201933,203493","2,2,4,4,9","Bullock,Reggie - Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ",83.0,61.0,39.6,22.0,0.555555555556
335,"101108,201162,201599,201933,201954","2,2,4,6,9","Collison,Darren - Dudley,Jared - Griffin,Blake - Jordan,DeAndre - Paul,Chris",37.7,37.7,19.5,0.0,0.0
337,"101108,201599,201601,201933,203085","2,2,5,6,9","Griffin,Blake - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Rivers,Austin",40.9,53.3,19.4,-12.4,-0.639175257732
366,"101109,101114,101135,202083,202718","2,3,6,7,8","Felton,Raymond - Lee,David - Matthews,Wesley - Parsons,Chandler - Williams,Deron",113.0,113.0,53.0,0.0,0.0
371,"101109,101114,202083,202718,1626257","0,3,6,7,8","Felton,Raymond - Matthews,Wesley - Mejri,Salah - Parsons,Chandler - Williams,Deron",85.0,92.0,38.0,-7.0,-0.184210526316
373,"101109,101135,200826,202083,1626257","0,2,3,6,9","Barea,J.J. - Felton,Raymond - Lee,David - Matthews,Wesley - Mejri,Salah",37.0,49.0,15.2,-12.0,-0.789473684211
405,"101110,101162,202322,202344,203078","2,2,4,8,9","Beal,Bradley - Booker,Trevor - Gortat,Marcin - Wall,John - Webster,Martell",108.0,136.0,50.0,-28.0,-0.56
408,"101110,101162,202322,202686,203078","0,2,4,8,9","Beal,Bradley - Gortat,Marcin - Vesely,Jan - Wall,John - Webster,Martell",60.9,60.9,32.2,0.0,0.0
425,"101110,201985,202338,202698,203078","1,4,5,6,8","Beal,Bradley - Price,A.J. - Seraphin,Kevin - Singleton,Chris - Webster,Martell",8.4,8.6,18.0,-0.2,-0.0111111111111
429,"101110,202066,202338,202344,203078","1,2,4,4,8","Beal,Bradley - Booker,Trevor - Seraphin,Kevin - Temple,Garrett - Webster,Martell",118.6,139.0,61.4,-20.4,-0.332247557003
431,"101110,202066,202338,202686,203078","0,1,4,4,8","Beal,Bradley - Seraphin,Kevin - Temple,Garrett - Vesely,Jan - Webster,Martell",38.5,36.3,22.8,2.2,0.0964912280702
455,"101111,101181,101198,201155,202328","2,3,7,8,9","Bynum,Will - Calderon,Jose - Monroe,Greg - Stuckey,Rodney - Villanueva,Charlie",9.3,6.0,15.2,3.3,0.217105263158
460,"101111,101181,201155,202328,202688","2,3,7,8,8","Calderon,Jose - Knight,Brandon - Monroe,Greg - Stuckey,Rodney - Villanueva,Charlie",6.9,6.5,27.9,0.4,0.0143369175627
462,"101111,101181,201155,202328,203114","2,3,3,7,8","Calderon,Jose - Middleton,Khris - Monroe,Greg - Stuckey,Rodney - Villanueva,Charlie",9.0,12.8,17.2,-3.8,-0.220930232558
464,"101111,101181,202328,202688,202713","2,3,4,8,8","Calderon,Jose - Knight,Brandon - Monroe,Greg - Singler,Kyle - Villanueva,Charlie",7.6,6.7,31.0,0.9,0.0290322580645
467,"101111,101198,201155,201948,203083","2,3,3,7,9","Bynum,Will - Daye,Austin - Drummond,Andre - Stuckey,Rodney - Villanueva,Charlie",16.2,16.5,96.2,-0.3,-0.0031185031185
473,"101111,101198,201155,202328,202688","2,3,7,8,9","Bynum,Will - Knight,Brandon - Monroe,Greg - Stuckey,Rodney - Villanueva,Charlie",3.8,6.6,15.0,-2.8,-0.186666666667
474,"101111,101198,201155,202328,202713","2,3,4,7,9","Bynum,Will - Monroe,Greg - Singler,Kyle - Stuckey,Rodney - Villanueva,Charlie",29.8,30.0,41.4,-0.2,-0.0048309178744
478,"101111,101198,201155,202713,203083","2,3,4,7,9","Bynum,Will - Drummond,Andre - Singler,Kyle - Stuckey,Rodney - Villanueva,Charlie",20.2,35.8,28.4,-15.6,-0.549295774648
485,"101111,101198,201948,202713,203083","2,3,3,4,9","Bynum,Will - Daye,Austin - Drummond,Andre - Singler,Kyle - Villanueva,Charlie",13.9,8.8,39.2,5.1,0.130102040816
502,"101111,200826,202329,202962,203109","1,2,3,7,9","Aminu,Al-Farouq - Barea,Jose Juan - Crowder,Jae - Smith,Greg - Villanueva,Charlie",24.0,29.0,16.0,-5.0,-0.3125
516,"101111,201155,201948,202713,203083","2,3,3,4,7","Daye,Austin - Drummond,Andre - Singler,Kyle - Stuckey,Rodney - Villanueva,Charlie",16.0,15.7,21.6,0.3,0.0138888888889
520,"101111,201155,201973,202688,203114","3,3,3,7,8","Jerebko,Jonas - Knight,Brandon - Middleton,Khris - Stuckey,Rodney - Villanueva,Charlie",9.8,6.2,19.0,3.6,0.189473684211
522,"101111,201155,202688,202713,203083","2,3,4,7,8","Drummond,Andre - Knight,Brandon - Singler,Kyle - Stuckey,Rodney - Villanueva,Charlie",6.4,5.2,15.0,1.2,0.08
544,"101112,101123,200782,201609,202693","1,3,8,9,9","Dragic,Goran - Frye,Channing - Green,Gerald - Morris,Markieff - Tucker,PJ",329.3,329.3,144.3,0.0,0.0
545,"101112,101123,200782,201609,202694","3,7,8,9,9","Dragic,Goran - Frye,Channing - Green,Gerald - Morris,Marcus - Tucker,PJ",120.4,105.0,39.2,15.4,0.392857142857
546,"101112,101123,200782,201609,203101","2,3,8,9,9","Dragic,Goran - Frye,Channing - Green,Gerald - Plumlee,Miles - Tucker,PJ",1183.5,1179.0,526.5,4.5,0.00854700854701
547,"101112,101123,200782,201609,203458","0,3,8,9,9","Dragic,Goran - Frye,Channing - Green,Gerald - Len,Alex - Tucker,PJ",74.0,102.0,36.5,-28.0,-0.767123287671
549,"101112,101123,200782,202339,202693","1,3,8,9,9","Bledsoe,Eric - Frye,Channing - Green,Gerald - Morris,Markieff - Tucker,PJ",81.2,75.6,33.6,5.6,0.166666666667
551,"101112,101123,200782,202339,203101","2,3,8,9,9","Bledsoe,Eric - Frye,Channing - Green,Gerald - Plumlee,Miles - Tucker,PJ",196.3,224.9,102.7,-28.6,-0.278481012658
553,"101112,101123,200782,202397,202693","1,3,8,9,9","Frye,Channing - Green,Gerald - Morris,Markieff - Smith,Ish - Tucker,PJ",63.8,58.3,22.0,5.5,0.25
