,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
23462,"2594,200757,200794,201168,203471","0,1,5,7,8","Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",29.0,41.0,18.0,-12.0,-0.666666666667
23466,"2594,200757,200794,201952,203488","0,0,5,7,8","Korver,Kyle - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo - Teague,Jeff",159.9,133.0,67.0,26.9,0.401492537313
23467,"2594,200757,200794,201952,203544","0,5,5,7,8","Antic,Pero - Korver,Kyle - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",168.0,109.5,64.5,58.5,0.906976744186
23469,"2594,200757,200794,203118,203471","0,4,5,7,8","Korver,Kyle - Millsap,Paul - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",41.0,25.1,17.2,15.9,0.924418604651
23473,"2594,200757,200794,203471,203488","0,0,5,7,8","Korver,Kyle - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",45.0,28.0,20.4,17.0,0.833333333333
23475,"2594,200757,200794,203471,203544","0,5,5,7,8","Antic,Pero - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",37.4,36.3,20.9,1.1,0.0526315789474
23481,"2594,200757,201143,201952,203118","1,4,5,7,8","Horford,Al - Korver,Kyle - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",81.5,74.3,38.1,7.2,0.188976377953
23482,"2594,200757,201143,201952,203145","1,5,7,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Sefolosha,Thabo - Teague,Jeff",33.0,31.0,17.0,2.0,0.117647058824
23487,"2594,200757,201143,202714,203118","1,4,5,6,7","Horford,Al - Korver,Kyle - Mack,Shelvin - Scott,Mike - Sefolosha,Thabo",34.0,29.0,19.7,5.0,0.253807106599
23488,"2594,200757,201143,202714,203488","0,1,5,6,7","Horford,Al - Korver,Kyle - Mack,Shelvin - Muscala,Mike - Sefolosha,Thabo",44.0,30.0,16.8,14.0,0.833333333333
23490,"2594,200757,201143,203118,203471","1,4,5,7,8","Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",278.7,205.7,122.3,73.0,0.596892886345
23493,"2594,200757,201143,203471,203488","0,1,5,7,8","Horford,Al - Korver,Kyle - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",28.1,29.1,16.7,-1.0,-0.059880239521
23495,"2594,200757,201143,203471,203544","1,5,5,7,8","Antic,Pero - Horford,Al - Korver,Kyle - Schroder,Dennis - Sefolosha,Thabo",36.0,34.2,17.4,1.8,0.103448275862
23504,"2594,200794,201143,201168,201952","0,1,1,5,8","Horford,Al - Korver,Kyle - Millsap,Paul - Splitter,Tiago - Teague,Jeff",39.0,42.0,21.5,-3.0,-0.139534883721
23505,"2594,200794,201143,201168,203471","0,1,1,5,8","Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Splitter,Tiago",43.0,32.0,19.0,11.0,0.578947368421
23506,"2594,200794,201143,201858,201952","0,1,4,5,8","Horford,Al - Korver,Kyle - Martin,Cartier - Millsap,Paul - Teague,Jeff",78.0,51.0,30.0,27.0,0.9
23509,"2594,200794,201143,201952,201960","0,1,5,7,8","Carroll,DeMarre - Horford,Al - Korver,Kyle - Millsap,Paul - Teague,Jeff",2850.9,2675.1,1303.2,175.8,0.134898710866
23510,"2594,200794,201143,201952,202714","0,1,5,6,8","Horford,Al - Korver,Kyle - Mack,Shelvin - Millsap,Paul - Teague,Jeff",69.2,69.2,34.4,0.0,0.0
23512,"2594,200794,201143,201952,203145","0,1,5,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Millsap,Paul - Teague,Jeff",2109.6,1994.4,955.3,115.2,0.120590390453
23515,"2594,200794,201143,201952,203501","0,1,3,5,8","Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Millsap,Paul - Teague,Jeff",60.0,36.0,19.2,24.0,1.25
23516,"2594,200794,201143,201952,203934","0,1,4,5,8","Horford,Al - Korver,Kyle - Millsap,Paul - Patterson,Lamar - Teague,Jeff",49.7,38.5,16.1,11.2,0.695652173913
23517,"2594,200794,201143,201960,202714","0,1,5,6,7","Carroll,DeMarre - Horford,Al - Korver,Kyle - Mack,Shelvin - Millsap,Paul",56.0,53.0,25.0,3.0,0.12
23518,"2594,200794,201143,201960,203471","0,1,5,7,8","Carroll,DeMarre - Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis",236.6,217.1,104.0,19.5,0.1875
23521,"2594,200794,201143,203145,203471","0,1,5,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis",189.7,156.3,82.6,33.4,0.404358353511
23525,"2594,200794,201168,201952,203145","0,1,5,8,8","Bazemore,Kent - Korver,Kyle - Millsap,Paul - Splitter,Tiago - Teague,Jeff",86.8,85.4,39.2,1.4,0.0357142857143
23529,"2594,200794,201168,203145,203471","0,1,5,8,8","Bazemore,Kent - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Splitter,Tiago",40.0,32.0,16.0,8.0,0.5
23539,"2594,200794,201952,201960,202970","0,0,5,7,8","Ayon,Gustavo - Carroll,DeMarre - Korver,Kyle - Millsap,Paul - Teague,Jeff",189.9,179.1,90.9,10.8,0.118811881188
23540,"2594,200794,201952,201960,203118","0,4,5,7,8","Carroll,DeMarre - Korver,Kyle - Millsap,Paul - Scott,Mike - Teague,Jeff",143.0,141.0,61.7,2.0,0.032414910859
23542,"2594,200794,201952,201960,203544","0,5,5,7,8","Antic,Pero - Carroll,DeMarre - Korver,Kyle - Millsap,Paul - Teague,Jeff",891.8,825.8,416.5,66.0,0.158463385354
23545,"2594,200794,201952,202714,203544","0,5,5,6,8","Antic,Pero - Korver,Kyle - Mack,Shelvin - Millsap,Paul - Teague,Jeff",72.0,50.0,29.6,22.0,0.743243243243
23547,"2594,200794,201952,203118,203145","0,4,5,8,8","Bazemore,Kent - Korver,Kyle - Millsap,Paul - Scott,Mike - Teague,Jeff",68.2,84.0,40.0,-15.8,-0.395
23551,"2594,200794,201952,203145,203488","0,0,5,8,8","Bazemore,Kent - Korver,Kyle - Millsap,Paul - Muscala,Mike - Teague,Jeff",64.4,56.0,32.2,8.4,0.260869565217
23552,"2594,200794,201952,203145,203544","0,5,5,8,8","Antic,Pero - Bazemore,Kent - Korver,Kyle - Millsap,Paul - Teague,Jeff",36.3,39.6,17.6,-3.3,-0.1875
23555,"2594,200794,201952,203488,203934","0,0,4,5,8","Korver,Kyle - Millsap,Paul - Muscala,Mike - Patterson,Lamar - Teague,Jeff",46.0,42.0,20.0,4.0,0.2
23556,"2594,200794,201960,202714,202970","0,0,5,6,7","Ayon,Gustavo - Carroll,DeMarre - Korver,Kyle - Mack,Shelvin - Millsap,Paul",80.0,55.0,30.5,25.0,0.819672131148
23558,"2594,200794,201960,202714,203544","0,5,5,6,7","Antic,Pero - Carroll,DeMarre - Korver,Kyle - Mack,Shelvin - Millsap,Paul",39.2,28.0,18.4,11.2,0.608695652174
23561,"2594,200794,201960,203471,203544","0,5,5,7,8","Antic,Pero - Carroll,DeMarre - Korver,Kyle - Millsap,Paul - Schroder,Dennis",35.4,25.6,15.0,9.8,0.653333333333
23564,"2594,200794,203118,203145,203471","0,4,5,8,8","Bazemore,Kent - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Scott,Mike",45.7,38.5,19.9,7.2,0.361809045226
23565,"2594,200794,203145,203471,203488","0,0,5,8,8","Bazemore,Kent - Korver,Kyle - Millsap,Paul - Muscala,Mike - Schroder,Dennis",106.7,92.1,49.4,14.6,0.295546558704
23567,"2594,200794,203145,203471,203544","0,5,5,8,8","Antic,Pero - Bazemore,Kent - Korver,Kyle - Millsap,Paul - Schroder,Dennis",33.8,41.6,18.2,-7.8,-0.428571428571
23572,"2594,200794,203471,203488,203934","0,0,4,5,8","Korver,Kyle - Millsap,Paul - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",37.0,29.0,15.5,8.0,0.516129032258
23574,"2594,201143,201168,201952,203145","1,1,5,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Splitter,Tiago - Teague,Jeff",34.0,56.0,21.0,-22.0,-1.04761904762
23584,"2594,201143,201952,201960,202970","0,1,5,7,8","Ayon,Gustavo - Carroll,DeMarre - Horford,Al - Korver,Kyle - Teague,Jeff",67.2,52.2,33.0,15.0,0.454545454545
23585,"2594,201143,201952,201960,203118","1,4,5,7,8","Carroll,DeMarre - Horford,Al - Korver,Kyle - Scott,Mike - Teague,Jeff",137.5,137.4,62.8,0.1,0.0015923566879
23586,"2594,201143,201952,201960,203488","0,1,5,7,8","Carroll,DeMarre - Horford,Al - Korver,Kyle - Muscala,Mike - Teague,Jeff",130.8,81.0,54.6,49.8,0.912087912088
23587,"2594,201143,201952,201960,203544","1,5,5,7,8","Antic,Pero - Carroll,DeMarre - Horford,Al - Korver,Kyle - Teague,Jeff",46.0,33.0,16.0,13.0,0.8125
23590,"2594,201143,201952,203118,203145","1,4,5,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Scott,Mike - Teague,Jeff",167.3,120.4,68.6,46.9,0.683673469388
23591,"2594,201143,201952,203118,203200","1,4,5,5,8","Holiday,Justin - Horford,Al - Korver,Kyle - Scott,Mike - Teague,Jeff",38.0,31.0,18.5,7.0,0.378378378378
23598,"2594,201143,201960,202714,203118","1,4,5,6,7","Carroll,DeMarre - Horford,Al - Korver,Kyle - Mack,Shelvin - Scott,Mike",39.2,25.9,16.8,13.3,0.791666666667
23600,"2594,201143,201960,203118,203471","1,4,5,7,8","Carroll,DeMarre - Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike",31.9,63.8,25.3,-31.9,-1.26086956522
23603,"2594,201143,202714,203118,203145","1,4,5,6,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Mack,Shelvin - Scott,Mike",37.1,36.4,16.1,0.7,0.0434782608696
23605,"2594,201143,202714,203118,203471","1,4,5,6,8","Horford,Al - Korver,Kyle - Mack,Shelvin - Schroder,Dennis - Scott,Mike",66.4,68.8,32.0,-2.4,-0.075
23611,"2594,201143,203118,203145,203471","1,4,5,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike",349.3,366.8,172.9,-17.5,-0.101214574899
23613,"2594,201143,203118,203471,203501","1,3,4,5,8","Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike",152.5,135.0,72.5,17.5,0.241379310345
23614,"2594,201143,203118,203471,203934","1,4,4,5,8","Horford,Al - Korver,Kyle - Patterson,Lamar - Schroder,Dennis - Scott,Mike",93.6,73.8,39.6,19.8,0.5
23615,"2594,201143,203145,203471,203488","0,1,5,8,8","Bazemore,Kent - Horford,Al - Korver,Kyle - Muscala,Mike - Schroder,Dennis",54.3,42.2,23.7,12.1,0.510548523207
23616,"2594,201143,203145,203471,203544","1,5,5,8,8","Antic,Pero - Bazemore,Kent - Horford,Al - Korver,Kyle - Schroder,Dennis",131.2,118.4,59.2,12.8,0.216216216216
23631,"2594,201952,201960,203118,203544","4,5,5,7,8","Antic,Pero - Carroll,DeMarre - Korver,Kyle - Scott,Mike - Teague,Jeff",77.4,68.9,38.2,8.5,0.222513089005
23655,"2594,2730,200794,203145,203471","0,2,5,8,8","Bazemore,Kent - Howard,Dwight - Korver,Kyle - Millsap,Paul - Schroder,Dennis",288.0,326.4,142.8,-38.4,-0.268907563025
23658,"2594,2730,203145,203471,203488","0,2,5,8,8","Bazemore,Kent - Howard,Dwight - Korver,Kyle - Muscala,Mike - Schroder,Dennis",74.0,80.0,34.0,-6.0,-0.176470588235
23670,"2594,2734,2746,201143,201952","1,2,5,7,8","Harris,Devin - Horford,Al - Korver,Kyle - Smith,Josh - Teague,Jeff",25.7,23.3,350.9,2.4,0.0068395554289
23673,"2594,2743,200757,200794,1627098","0,1,5,6,7","Delaney,Malcolm - Humphries,Kris - Korver,Kyle - Millsap,Paul - Sefolosha,Thabo",53.2,33.2,17.6,20.0,1.13636363636
23674,"2594,2743,200757,200794,201952","0,1,5,7,8","Humphries,Kris - Korver,Kyle - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",70.4,67.2,30.4,3.2,0.105263157895
23675,"2594,2743,200757,200794,203471","0,1,5,7,8","Humphries,Kris - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",56.4,29.4,16.3,27.0,1.65644171779
23676,"2594,2743,200794,201952,203145","0,1,5,8,8","Bazemore,Kent - Humphries,Kris - Korver,Kyle - Millsap,Paul - Teague,Jeff",72.0,63.6,32.4,8.4,0.259259259259
23690,"2594,2746,101150,201143,201952","1,2,5,6,8","Horford,Al - Korver,Kyle - Smith,Josh - Teague,Jeff - Williams,Louis",23.1,21.2,233.1,1.9,0.00815100815101
23692,"2594,2746,201143,201229,201952","1,2,4,5,8","Horford,Al - Korver,Kyle - Smith,Josh - Teague,Jeff - Tolliver,Anthony",13.4,13.3,103.5,0.1,0.000966183574879
23694,"2594,2746,201143,201952,203098","1,2,4,5,8","Horford,Al - Jenkins,John - Korver,Kyle - Smith,Josh - Teague,Jeff",6.7,7.9,64.4,-1.2,-0.0186335403727
23702,"2617,101123,201177,1626159,1626196","1,3,5,5,8","Green,Gerald - Haslem,Udonis - McRoberts,Josh - Richardson,Josh - Winslow,Justise",31.0,33.0,17.0,-2.0,-0.117647058824
23707,"2617,200761,201596,203516,203894","1,4,5,6,7","Chalmers,Mario - Ennis,James - Haslem,Udonis - Napier,Shabazz - Williams,Shawne",24.0,37.2,21.6,-13.2,-0.611111111111
23708,"2617,201177,201596,203516,203894","1,3,4,6,7","Chalmers,Mario - Ennis,James - Haslem,Udonis - McRoberts,Josh - Napier,Shabazz",56.0,64.0,33.2,-8.0,-0.240963855422
23731,"2617,2736,200761,201596,203894","1,5,5,6,7","Chalmers,Mario - Deng,Luol - Haslem,Udonis - Napier,Shabazz - Williams,Shawne",36.0,37.2,19.2,-1.2,-0.0625
23737,"2617,2736,201596,201609,201611","1,5,5,7,9","Chalmers,Mario - Deng,Luol - Dragic,Goran - Haslem,Udonis - Walker,Henry",32.0,45.0,19.5,-13.0,-0.666666666667
23738,"2617,2736,201596,201609,203516","1,4,5,7,9","Chalmers,Mario - Deng,Luol - Dragic,Goran - Ennis,James - Haslem,Udonis",34.0,16.8,16.0,17.2,1.075
23750,"2730,101128,201166,201935,201956","2,3,3,9,9","Brooks,Aaron - Casspi,Omri - Garcia,Francisco - Harden,James - Howard,Dwight",42.9,35.2,23.1,7.7,0.333333333333
23752,"2730,101128,201166,201935,202718","2,3,8,9,9","Brooks,Aaron - Garcia,Francisco - Harden,James - Howard,Dwight - Parsons,Chandler",40.2,47.4,19.2,-7.2,-0.375
23754,"2730,101128,201166,201935,203093","0,2,3,9,9","Brooks,Aaron - Garcia,Francisco - Harden,James - Howard,Dwight - Jones,Terrence",38.4,54.4,16.8,-16.0,-0.952380952381
23758,"2730,101128,201166,201956,202718","2,3,3,8,9","Brooks,Aaron - Casspi,Omri - Garcia,Francisco - Howard,Dwight - Parsons,Chandler",76.8,61.6,32.8,15.2,0.463414634146
23767,"2730,101128,201935,201956,202391","2,3,3,9,9","Casspi,Omri - Garcia,Francisco - Harden,James - Howard,Dwight - Lin,Jeremy",56.7,25.9,19.6,30.8,1.57142857143
23768,"2730,101128,201935,201976,202718","2,3,8,8,9","Beverley,Patrick - Garcia,Francisco - Harden,James - Howard,Dwight - Parsons,Chandler",95.2,96.0,43.2,-0.8,-0.0185185185185
23769,"2730,101128,201935,201976,203093","0,2,3,8,9","Beverley,Patrick - Garcia,Francisco - Harden,James - Howard,Dwight - Jones,Terrence",72.0,80.0,38.0,-8.0,-0.210526315789
23771,"2730,101128,201935,202391,202718","2,3,8,9,9","Garcia,Francisco - Harden,James - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",60.2,38.5,18.9,21.7,1.14814814815
23772,"2730,101128,201935,202391,203093","0,2,3,9,9","Garcia,Francisco - Harden,James - Howard,Dwight - Jones,Terrence - Lin,Jeremy",51.1,42.0,22.4,9.1,0.40625
23775,"2730,101128,201956,202391,202718","2,3,3,8,9","Casspi,Omri - Garcia,Francisco - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",30.8,51.1,18.2,-20.3,-1.11538461538
23777,"2730,101128,201976,202718,203093","0,2,3,8,8","Beverley,Patrick - Garcia,Francisco - Howard,Dwight - Jones,Terrence - Parsons,Chandler",48.0,35.0,20.0,13.0,0.65
23781,"2730,101128,202391,202718,203093","0,2,3,8,9","Garcia,Francisco - Howard,Dwight - Jones,Terrence - Lin,Jeremy - Parsons,Chandler",53.2,52.0,27.2,1.2,0.0441176470588
23784,"2730,200757,200794,203145,203471","0,2,7,8,8","Bazemore,Kent - Howard,Dwight - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",65.0,64.0,31.5,1.0,0.031746031746
23794,"2730,200757,203488,203501,1627098","0,2,3,6,7","Delaney,Malcolm - Hardaway Jr.,Tim - Howard,Dwight - Muscala,Mike - Sefolosha,Thabo",50.6,44.0,23.1,6.6,0.285714285714
23799,"2730,201147,201935,201951,201977","2,3,4,9,9","Brewer,Corey - Harden,James - Howard,Dwight - Lawson,Ty - Thornton,Marcus",44.1,39.2,18.2,4.9,0.269230769231
23800,"2730,201147,201935,201951,203093","0,2,4,9,9","Brewer,Corey - Harden,James - Howard,Dwight - Jones,Terrence - Lawson,Ty",44.0,55.0,20.9,-11.0,-0.526315789474
23802,"2730,201147,201935,201976,202700","2,2,4,8,9","Beverley,Patrick - Brewer,Corey - Harden,James - Howard,Dwight - Motiejunas,Donatas",41.3,39.4,20.0,1.9,0.095
23805,"2730,201147,201935,201976,203991","0,2,4,8,9","Beverley,Patrick - Brewer,Corey - Capela,Clint - Harden,James - Howard,Dwight",36.0,28.0,16.4,8.0,0.487804878049
23809,"2730,201147,201951,201977,1626149","2,3,4,4,9","Brewer,Corey - Harrell,Montrezl - Howard,Dwight - Lawson,Ty - Thornton,Marcus",50.0,37.0,21.5,13.0,0.604651162791
23811,"2730,201147,201951,201977,203093","0,2,3,4,9","Brewer,Corey - Howard,Dwight - Jones,Terrence - Lawson,Ty - Thornton,Marcus",32.8,41.6,16.8,-8.8,-0.52380952381
23812,"2730,201147,201976,201977,203093","0,2,3,4,8","Beverley,Patrick - Brewer,Corey - Howard,Dwight - Jones,Terrence - Thornton,Marcus",28.0,35.0,16.5,-7.0,-0.424242424242
23813,"2730,201166,201935,201956,201976","2,3,8,9,9","Beverley,Patrick - Brooks,Aaron - Casspi,Omri - Harden,James - Howard,Dwight",53.1,55.2,24.0,-2.1,-0.0875
23815,"2730,201166,201935,201956,202718","2,3,8,9,9","Brooks,Aaron - Casspi,Omri - Harden,James - Howard,Dwight - Parsons,Chandler",36.8,26.4,19.2,10.4,0.541666666667
23818,"2730,201166,201935,202718,203093","0,2,8,9,9","Brooks,Aaron - Harden,James - Howard,Dwight - Jones,Terrence - Parsons,Chandler",63.0,60.0,28.0,3.0,0.107142857143
23827,"2730,201600,201935,201976,202718","2,2,8,8,9","Asik,Omer - Beverley,Patrick - Harden,James - Howard,Dwight - Parsons,Chandler",67.9,88.2,39.9,-20.3,-0.508771929825
23828,"2730,201600,201935,202391,202718","2,2,8,9,9","Asik,Omer - Harden,James - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",100.8,119.2,59.2,-18.4,-0.310810810811
23831,"2730,201935,201956,201976,202718","2,3,8,8,9","Beverley,Patrick - Casspi,Omri - Harden,James - Howard,Dwight - Parsons,Chandler",114.0,69.6,37.2,44.4,1.1935483871
23832,"2730,201935,201956,201976,203093","0,2,3,8,9","Beverley,Patrick - Casspi,Omri - Harden,James - Howard,Dwight - Jones,Terrence",30.0,22.0,15.0,8.0,0.533333333333
23834,"2730,201935,201956,202391,202718","2,3,8,9,9","Casspi,Omri - Harden,James - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",252.0,228.9,109.2,23.1,0.211538461538
23840,"2730,201935,201976,202391,202718","2,8,8,9,9","Beverley,Patrick - Harden,James - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",154.0,169.4,75.6,-15.4,-0.203703703704
23844,"2730,201935,201976,202700,202718","2,2,8,8,9","Beverley,Patrick - Harden,James - Howard,Dwight - Motiejunas,Donatas - Parsons,Chandler",187.2,140.4,68.4,46.8,0.684210526316
23845,"2730,201935,201976,202706,203093","0,2,8,8,9","Beverley,Patrick - Hamilton,Jordan - Harden,James - Howard,Dwight - Jones,Terrence",85.2,78.0,33.2,7.2,0.21686746988
23847,"2730,201935,201976,202718,203093","0,2,8,8,9","Beverley,Patrick - Harden,James - Howard,Dwight - Jones,Terrence - Parsons,Chandler",1361.5,1291.5,619.5,70.0,0.112994350282
23850,"2730,201935,202391,202700,202718","2,2,8,9,9","Harden,James - Howard,Dwight - Lin,Jeremy - Motiejunas,Donatas - Parsons,Chandler",96.9,90.1,42.5,6.8,0.16
23853,"2730,201935,202391,202718,203093","0,2,8,9,9","Harden,James - Howard,Dwight - Jones,Terrence - Lin,Jeremy - Parsons,Chandler",768.0,736.0,326.4,32.0,0.0980392156863
23858,"2730,201956,201976,202391,202718","2,3,8,8,9","Beverley,Patrick - Casspi,Omri - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",48.3,37.1,18.2,11.2,0.615384615385
23859,"2730,201956,201976,203093,203584","0,2,3,4,8","Beverley,Patrick - Casspi,Omri - Daniels,Troy - Howard,Dwight - Jones,Terrence",50.0,48.0,21.0,2.0,0.0952380952381
23862,"2730,201976,202391,202700,202718","2,2,8,8,9","Beverley,Patrick - Howard,Dwight - Lin,Jeremy - Motiejunas,Donatas - Parsons,Chandler",44.0,39.0,21.5,5.0,0.232558139535
23863,"2730,201976,202391,202718,203093","0,2,8,8,9","Beverley,Patrick - Howard,Dwight - Jones,Terrence - Lin,Jeremy - Parsons,Chandler",243.6,249.6,116.4,-6.0,-0.0515463917526
23873,"2730,2746,201147,201935,201976","2,2,4,8,9","Beverley,Patrick - Brewer,Corey - Harden,James - Howard,Dwight - Smith,Josh",49.9,47.9,22.0,2.0,0.0909090909091
23878,"2730,2746,2772,201147,203143","2,2,4,7,8","Ariza,Trevor - Brewer,Corey - Howard,Dwight - Prigioni,Pablo - Smith,Josh",93.8,60.9,41.3,32.9,0.796610169492
23880,"2730,2746,2772,201935,201976","2,2,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Smith,Josh",432.0,445.2,202.2,-13.2,-0.0652818991098
23883,"2730,2772,201147,201935,201951","2,4,7,9,9","Ariza,Trevor - Brewer,Corey - Harden,James - Howard,Dwight - Lawson,Ty",44.0,50.0,22.0,-6.0,-0.272727272727
23884,"2730,2772,201147,201935,201976","2,4,7,8,9","Ariza,Trevor - Beverley,Patrick - Brewer,Corey - Harden,James - Howard,Dwight",491.7,528.9,218.9,-37.2,-0.169940612152
23890,"2730,2772,201147,201951,201977","2,3,4,7,9","Ariza,Trevor - Brewer,Corey - Howard,Dwight - Lawson,Ty - Thornton,Marcus",46.2,52.5,21.7,-6.3,-0.290322580645
23897,"2730,2772,201563,201935,201976","2,7,7,8,9","Ariza,Trevor - Beasley,Michael - Beverley,Patrick - Harden,James - Howard,Dwight",145.5,175.5,70.5,-30.0,-0.425531914894
23900,"2730,2772,201935,201951,1626149","2,4,7,9,9","Ariza,Trevor - Harden,James - Harrell,Montrezl - Howard,Dwight - Lawson,Ty",27.9,30.9,15.3,-3.0,-0.196078431373
23902,"2730,2772,201935,201951,201977","2,3,7,9,9","Ariza,Trevor - Harden,James - Howard,Dwight - Lawson,Ty - Thornton,Marcus",172.0,160.0,80.0,12.0,0.15
23904,"2730,2772,201935,201951,203093","0,2,7,9,9","Ariza,Trevor - Harden,James - Howard,Dwight - Jones,Terrence - Lawson,Ty",158.4,169.6,72.0,-11.2,-0.155555555556
23905,"2730,2772,201935,201951,203991","0,2,7,9,9","Ariza,Trevor - Capela,Clint - Harden,James - Howard,Dwight - Lawson,Ty",35.0,41.3,15.4,-6.3,-0.409090909091
23906,"2730,2772,201935,201976,1626149","2,4,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Harrell,Montrezl - Howard,Dwight",53.9,44.8,26.6,9.1,0.342105263158
23907,"2730,2772,201935,201976,201977","2,3,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Thornton,Marcus",165.6,127.8,64.8,37.8,0.583333333333
23908,"2730,2772,201935,201976,202700","2,2,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Motiejunas,Donatas",1475.6,1337.1,653.7,138.5,0.211870888787
23909,"2730,2772,201935,201976,203093","0,2,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Jones,Terrence",252.2,288.8,118.2,-36.6,-0.309644670051
23910,"2730,2772,201935,201976,203123","2,5,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Papanikolaou,Kostas",78.0,48.8,28.8,29.2,1.01388888889
23913,"2730,2772,201935,201976,203909","2,3,7,8,9","Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - McDaniels,KJ",59.0,37.0,22.0,22.0,1.0
23914,"2730,2772,201935,201976,203991","0,2,7,8,9","Ariza,Trevor - Beverley,Patrick - Capela,Clint - Harden,James - Howard,Dwight",420.2,387.2,195.8,33.0,0.168539325843
23917,"2730,2772,201935,202700,203477","2,2,7,8,9","Ariza,Trevor - Canaan,Isaiah - Harden,James - Howard,Dwight - Motiejunas,Donatas",121.1,95.9,56.0,25.2,0.45
23921,"2730,2772,201935,203093,203477","0,2,7,8,9","Ariza,Trevor - Canaan,Isaiah - Harden,James - Howard,Dwight - Jones,Terrence",73.0,49.0,29.2,24.0,0.821917808219
23932,"2732,101112,202696,203095,203901","2,3,8,9,9","Fournier,Evan - Frye,Channing - Gordon,Ben - Payton,Elfrid - Vucevic,Nikola",45.0,51.3,19.8,-6.3,-0.318181818182
23933,"2732,101112,202696,203506,203901","2,3,7,9,9","Frye,Channing - Gordon,Ben - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",79.8,72.1,28.7,7.7,0.268292682927
23942,"2732,101112,203095,203124,203901","2,3,8,9,9","Fournier,Evan - Frye,Channing - Gordon,Ben - O'Quinn,Kyle - Payton,Elfrid",32.8,33.6,18.4,-0.8,-0.0434782608696
23943,"2732,101112,203095,203473,203506","2,3,7,8,9","Dedmon,Dewayne - Fournier,Evan - Frye,Channing - Gordon,Ben - Oladipo,Victor",28.2,49.2,17.4,-21.0,-1.20689655172
23944,"2732,101112,203095,203473,203901","2,3,8,9,9","Dedmon,Dewayne - Fournier,Evan - Frye,Channing - Gordon,Ben - Payton,Elfrid",78.3,60.3,36.0,18.0,0.5
23947,"2732,201177,201196,201604,202687","0,3,3,6,9","Biyombo,Bismack - Douglas-Roberts,Chris - Gordon,Ben - McRoberts,Josh - Sessions,Ramon",35.0,44.0,20.0,-9.0,-0.45
23950,"2732,201177,201196,202399,203106","2,3,4,6,9","Adrien,Jeff - Gordon,Ben - McRoberts,Josh - Sessions,Ramon - Taylor,Jeff",27.0,28.0,17.2,-1.0,-0.0581395348837
23951,"2732,201177,201196,202687,203106","0,3,4,6,9","Biyombo,Bismack - Gordon,Ben - McRoberts,Josh - Sessions,Ramon - Taylor,Jeff",23.2,28.5,18.4,-5.3,-0.288043478261
23952,"2732,201177,201945,201957,202689","3,5,8,8,9","Gordon,Ben - Henderson,Gerald - McRoberts,Josh - Mullens,Byron - Walker,Kemba",9.4,7.4,19.0,2.0,0.105263157895
