player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,dreb_pos,oreb_pos,pos
2555,13176,Nick Collison,N,Nick,82,Collison,Forward,Active,12,1610612760,Thunder,255,107,34,60,26,26,67,10,14,6,9,1.4,0.4,0.2,2.4,1.0,0.7,66.0,16.7,1.4,2.4,1.2,3.8,0.5,0.7,1.45,7.05,2.68,2.92,1.55,0.71,3.28,1.48,1.09,0.48,0.205,0.38,0.415,0.221,0.072,0.04,1907.876
2557,13066,Luke Ridnour,N,Luke,74,Ridnour,Guard,Active,11,1610612753,Magic,175,19,21,79,42,15,8,9,42,11,5,2.0,0.1,0.1,1.3,0.4,0.4,47.0,14.5,0.2,1.4,1.0,1.4,0.4,0.8,1.12,4.71,0.83,2.76,1.79,0.38,1.93,0.5,1.05,0.69,0.237,0.177,0.586,0.379,0.044,0.006,1007.208
2561,13234,David West,N,David,81,West,Forward,Active,13,1610612744,Warriors,250,128,3,401,17,137,76,1,187,3,56,3.4,0.7,0.4,5.2,2.4,1.8,66.0,28.7,1.6,2.4,2.3,6.8,0.7,1.8,1.95,9.45,3.06,4.44,1.98,0.91,4.5,1.83,1.76,0.83,0.206,0.324,0.47,0.21,0.09,0.029,3650.464
2563,13114,Dahntay Jones,Y,Dahntay,78,Jones,Guard-Forward,Active,12,1610612739,Cavaliers,225,6,4,8,0,3,5,0,1,0,0,0.1,0.0,0.0,0.3,0.3,0.3,33.0,3.7,0.0,0.7,0.3,0.3,0.1,0.0,0.22,2.11,0.5,1.39,0.94,0.11,1.0,0.22,0.67,0.33,0.105,0.237,0.658,0.447,0.042,0.004,224.116
2564,12639,Boris Diaw,N,Boris,80,Diaw,Center-Forward,Active,13,1610612762,Jazz,250,215,20,105,148,143,129,3,40,51,68,2.9,0.3,0.3,3.3,1.1,0.9,81.0,24.5,1.0,1.8,1.3,4.3,0.4,1.6,2.27,10.01,3.65,4.09,2.1,0.95,4.75,2.33,1.47,0.72,0.227,0.365,0.408,0.21,0.068,0.02,3669.02
2570,11700,Kendrick Perkins,N,Kendrick,82,Perkins,Center,Active,13,1610612740,Pelicans,270,122,0,16,1,88,64,0,6,0,32,0.8,0.6,0.4,3.4,1.2,0.6,68.0,16.9,1.3,2.4,1.2,4.7,0.2,1.4,1.88,7.06,2.96,2.22,0.84,0.53,3.04,1.55,0.96,0.25,0.266,0.419,0.315,0.118,0.099,0.039,2026.632
2571,12413,Leandro Barbosa,N,Leandro,75,Barbosa,Guard,Active,13,1610612756,Suns,194,156,31,69,81,49,99,14,25,29,16,1.5,0.1,0.2,1.0,1.1,0.9,66.0,14.9,0.3,1.3,0.9,1.4,0.6,0.7,0.75,3.94,1.0,2.19,1.27,0.35,1.88,0.8,0.73,0.42,0.19,0.254,0.556,0.321,0.034,0.011,1947.588
2581,13419,Steve Blake,N,Steve,75,Blake,Guard,Active,13,1610612765,Pistons,172,27,64,74,154,7,14,29,30,47,1,3.6,0.1,0.1,1.5,0.5,0.4,81.0,18.9,0.2,1.5,1.0,1.7,0.5,1.3,1.66,6.95,1.39,3.9,1.66,0.8,3.15,0.86,1.49,0.62,0.239,0.2,0.561,0.239,0.039,0.005,2715.8
2584,12901,Willie Green,N,Willie,75,Green,Guard,Active,11,1610612753,Magic,205,64,46,87,75,34,38,19,31,23,7,1.3,0.1,0.2,1.3,0.7,0.5,52.0,18.3,0.3,1.6,0.8,1.5,0.5,0.9,0.94,5.88,1.16,3.78,2.33,0.4,2.31,0.67,1.24,0.73,0.16,0.198,0.642,0.396,0.034,0.007,1475.356
2585,11974,Zaza Pachulia,N,Zaza,83,Pachulia,Center,Active,13,1610612744,Warriors,275,246,0,193,3,87,132,0,80,0,28,2.4,0.3,0.5,4.2,2.2,1.7,73.0,23.7,2.7,2.3,2.2,6.8,1.1,1.8,2.46,9.79,4.27,3.06,0.93,1.07,4.48,2.28,1.13,0.34,0.252,0.436,0.312,0.095,0.087,0.057,3186.66
