,FGA_l,FTA_l,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
95,3.0,0.0,0.0,1.0,1627763 - 203089 - 203953 - 203503 - 203141,"Brogdon,Malcolm - Henson,John - Parker,Jabari - Snell,Tony - Teletovic,Mirza",1.0,1.0
96,1.0,0.0,0.0,1.0,1627763 - 203953 - 203101 - 203141 - 1891,"Brogdon,Malcolm - Parker,Jabari - Plumlee,Miles - Teletovic,Mirza - Terry,Jason",2.0,3.0
97,1.0,2.0,0.0,0.0,203507 - 203521 - 202328 - 203141 - 1891,"Antetokounmpo,Giannis - Dellavedova,Matthew - Monroe,Greg - Teletovic,Mirza - Terry,Jason",3.0,4.0
98,3.0,0.0,2.0,0.0,203507 - 201563 - 1627763 - 203089 - 203503,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Henson,John - Snell,Tony",0.0,0.0
99,1.0,0.0,0.0,0.0,203507 - 201563 - 1627763 - 202328 - 203953,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Parker,Jabari",3.0,0.0
100,1.0,0.0,0.0,0.0,1627763 - 202328 - 203953 - 203503 - 203141,"Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Snell,Tony - Teletovic,Mirza",0.0,2.0
101,0.0,2.0,0.0,0.0,201563 - 1627763 - 203521 - 202328 - 203953,"Beasley,Michael - Brogdon,Malcolm - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari",2.0,0.0
102,1.0,0.0,0.0,0.0,203521 - 202328 - 203953 - 203141 - 1891,"Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Teletovic,Mirza - Terry,Jason",3.0,0.0
103,0.0,0.0,0.0,0.0,203507 - 1627763 - 203089 - 203953 - 1891,"Antetokounmpo,Giannis - Brogdon,Malcolm - Henson,John - Parker,Jabari - Terry,Jason",0.0,0.0
104,0.0,0.0,0.0,0.0,201563 - 1627763 - 202328 - 203503 - 1891,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Snell,Tony - Terry,Jason",0.0,0.0
105,0.0,2.0,0.0,0.0,201563 - 203521 - 203953 - 203101 - 1891,"Beasley,Michael - Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Terry,Jason",0.0,0.0
106,1.0,0.0,1.0,0.0,203507 - 203521 - 203089 - 203101 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Plumlee,Miles - Teletovic,Mirza",0.0,0.0
107,280.8,45.5,29.9,48.1,201939 - 201142 - 203110 - 2585 - 202691,"Curry,Stephen - Durant,Kevin - Green,Draymond - Pachulia,Zaza - Thompson,Klay",26.0,27.8
108,117.6,46.8,7.2,19.2,201939 - 201142 - 203110 - 2738 - 202691,"Curry,Stephen - Durant,Kevin - Green,Draymond - Iguodala,Andre - Thompson,Klay",12.6,15.9
109,101.4,28.6,10.4,19.5,201142 - 2738 - 2733 - 202691 - 2561,"Durant,Kevin - Iguodala,Andre - Livingston,Shaun - Thompson,Klay - West,David",9.6,11.2
110,10.0,0.0,1.0,0.0,201939 - 203110 - 2733 - 1626172 - 202691,"Curry,Stephen - Green,Draymond - Livingston,Shaun - Looney,Kevon - Thompson,Klay",14.0,14.0
111,7.0,2.0,1.0,0.0,203546 - 1626172 - 203949 - 1627775 - 201580,"Clark,Ian - Looney,Kevon - McAdoo,James Michael - McCaw,Patrick - McGee,JaVale",10.0,8.0
112,18.0,0.0,3.0,6.0,203546 - 2733 - 1626172 - 203949 - 201580,"Clark,Ian - Livingston,Shaun - Looney,Kevon - McAdoo,James Michael - McGee,JaVale",9.3,6.3
113,4.0,3.0,0.0,1.0,203546 - 2733 - 1626172 - 1627775 - 201580,"Clark,Ian - Livingston,Shaun - Looney,Kevon - McCaw,Patrick - McGee,JaVale",9.0,3.0
114,12.0,3.0,0.0,3.0,201142 - 203110 - 2733 - 2585 - 202691,"Durant,Kevin - Green,Draymond - Livingston,Shaun - Pachulia,Zaza - Thompson,Klay",7.5,6.5
115,14.0,4.0,0.0,0.0,203546 - 201939 - 203110 - 2738 - 2561,"Clark,Ian - Curry,Stephen - Green,Draymond - Iguodala,Andre - West,David",4.5,12.5
116,5.0,5.0,1.0,0.0,203110 - 2738 - 2733 - 202691 - 2561,"Green,Draymond - Iguodala,Andre - Livingston,Shaun - Thompson,Klay - West,David",6.0,9.0
117,4.0,2.0,0.0,0.0,203546 - 201142 - 2738 - 202691 - 2760,"Clark,Ian - Durant,Kevin - Iguodala,Andre - Thompson,Klay - Varejao,Anderson",13.0,5.0
118,6.0,2.0,2.0,2.0,203546 - 1626172 - 1627775 - 201580 - 2760,"Clark,Ian - Looney,Kevon - McCaw,Patrick - McGee,JaVale - Varejao,Anderson",8.0,7.0
119,5.0,8.0,0.0,0.0,201939 - 201142 - 203110 - 1627775 - 202691,"Curry,Stephen - Durant,Kevin - Green,Draymond - McCaw,Patrick - Thompson,Klay",16.0,9.0
120,4.0,3.0,0.0,0.0,201939 - 201142 - 2738 - 2733 - 2561,"Curry,Stephen - Durant,Kevin - Iguodala,Andre - Livingston,Shaun - West,David",5.0,4.0
121,29.2,8.0,7.2,5.2,201939 - 203110 - 2738 - 201580 - 202691,"Curry,Stephen - Green,Draymond - Iguodala,Andre - McGee,JaVale - Thompson,Klay",9.8,9.3
122,10.0,2.0,0.0,2.0,201939 - 203110 - 2738 - 1627775 - 201580,"Curry,Stephen - Green,Draymond - Iguodala,Andre - McCaw,Patrick - McGee,JaVale",9.0,6.0
123,5.0,0.0,0.0,0.0,201939 - 203110 - 2733 - 203949 - 1627775,"Curry,Stephen - Green,Draymond - Livingston,Shaun - McAdoo,James Michael - McCaw,Patrick",7.0,2.0
124,5.0,2.0,0.0,0.0,201939 - 201142 - 1627775 - 202691 - 2561,"Curry,Stephen - Durant,Kevin - McCaw,Patrick - Thompson,Klay - West,David",7.0,9.0
125,4.0,0.0,0.0,1.0,203546 - 201939 - 203110 - 1627775 - 2585,"Clark,Ian - Curry,Stephen - Green,Draymond - McCaw,Patrick - Pachulia,Zaza",5.0,5.0
126,24.0,8.0,4.0,3.2,201939 - 201142 - 203110 - 2733 - 202691,"Curry,Stephen - Durant,Kevin - Green,Draymond - Livingston,Shaun - Thompson,Klay",5.5,9.8
127,3.0,0.0,0.0,2.0,201142 - 2738 - 2733 - 1627775 - 202691,"Durant,Kevin - Iguodala,Andre - Livingston,Shaun - McCaw,Patrick - Thompson,Klay",10.0,2.0
128,6.0,0.0,1.0,0.0,201939 - 203110 - 2738 - 203949 - 1627775,"Curry,Stephen - Green,Draymond - Iguodala,Andre - McAdoo,James Michael - McCaw,Patrick",7.0,2.0
129,25.2,5.2,9.2,4.0,201939 - 203110 - 2733 - 1627775 - 2585,"Curry,Stephen - Green,Draymond - Livingston,Shaun - McCaw,Patrick - Pachulia,Zaza",5.8,5.5
130,4.0,0.0,0.0,1.0,201142 - 2738 - 2733 - 202691 - 2760,"Durant,Kevin - Iguodala,Andre - Livingston,Shaun - Thompson,Klay - Varejao,Anderson",4.0,4.0
131,4.0,0.0,0.0,1.0,203546 - 201939 - 203110 - 2738 - 202691,"Clark,Ian - Curry,Stephen - Green,Draymond - Iguodala,Andre - Thompson,Klay",4.0,4.0
