,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
1863,11.0,6.0,7.6,0.0,2.0,200811 - 2546 - 204038 - 203501 - 202498,"Amundson,Lou - Anthony,Carmelo - Galloway,Langston - Hardaway Jr.,Tim - Thomas,Lance",8.0,11.0
1864,18.0,4.0,7.6,4.0,1.0,2546 - 101181 - 203501 - 203499 - 201160,"Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",11.5,10.0
1865,21.2,4.0,15.2,2.0,5.2,2546 - 2223 - 203143 - 202697 - 2747,"Anthony,Carmelo - Dalembert,Samuel - Prigioni,Pablo - Shumpert,Iman - Smith,J.R.",6.8,5.8
1866,31.0,11.0,18.5,4.0,3.0,200811 - 2546 - 101181 - 204038 - 202498,"Amundson,Lou - Anthony,Carmelo - Calderon,Jose - Galloway,Langston - Thomas,Lance",7.2,7.8
1867,57.0,18.0,37.0,4.0,9.0,2546 - 203143 - 2747 - 201160 - 2405,"Anthony,Carmelo - Prigioni,Pablo - Smith,J.R. - Smith,Jason - Stoudemire,Amar'e",7.4,7.7
1868,18.9,3.9,10.8,3.9,3.9,203112 - 203921 - 204038 - 203495 - 201160,"Acy,Quincy - Early,Cleanthony - Galloway,Langston - Ledo,Ricky - Smith,Jason",5.3,7.0
1869,18.0,2.1,10.8,2.1,2.1,203112 - 203921 - 203501 - 203499 - 201160,"Acy,Quincy - Early,Cleanthony - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",10.3,6.3
1870,14.0,5.0,7.2,5.0,2.0,203112 - 203499 - 203495 - 201160 - 202498,"Acy,Quincy - Larkin,Shane - Ledo,Ricky - Smith,Jason - Thomas,Lance",7.5,6.5
1871,12.0,4.0,7.2,0.0,2.0,200811 - 203921 - 203501 - 203499 - 201160,"Amundson,Lou - Early,Cleanthony - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",9.5,5.5
1872,18.9,3.0,10.8,0.0,0.9,2546 - 2223 - 203501 - 203499 - 201160,"Anthony,Carmelo - Dalembert,Samuel - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",10.7,5.0
