player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,pass_total
2544,11645,LeBron James,N,LeBron,80,James,Forward,Active,13,1610612739,Cavaliers,250,1134.0,281.0,244.0,167.0,287.0,296.0,258.0,56.0,23.0,84.0,650.0,87.0,143.0,152.0,199.0,100.0,74.0,25.0,13.0,31.0,1415.0,737.0,0.098,6.8,0.6,0.9,6.0,6.5,4.7,76.0,35.6,1.5,1.9,5.4,7.4,1.4,3.3,1.15,0.93,3.62,4.06,3.85,1.04,1.24,2.28,1.23,8.43,2.28,4.92,3.24,0.47,3.16,1.11,1.58,1.04,3812.92
2546,11860,Carmelo Anthony,N,Carmelo,80,Anthony,Forward,Active,13,1610612752,Knicks,240,997.0,310.0,186.0,6.0,101.0,545.0,281.0,65.0,29.0,94.0,462.0,105.0,83.0,4.0,69.0,221.0,89.0,40.0,16.0,45.0,1307.0,567.0,0.243,4.2,0.5,1.1,6.4,5.6,4.6,72.0,35.1,1.4,2.5,4.4,7.7,0.9,2.4,0.86,0.99,3.54,4.02,3.79,1.0,1.22,2.22,1.04,8.51,2.47,5.0,3.54,0.36,3.59,1.57,1.66,1.09,3061.44
2547,11926,Chris Bosh,N,Chris,83,Bosh,Forward,Active,13,1610612748,Heat,235,545.0,222.0,77.0,18.0,84.0,306.0,220.0,16.0,2.0,44.0,277.0,81.0,52.0,17.0,55.0,125.0,81.0,6.0,0.0,22.0,767.0,358.0,0.478,2.4,0.6,0.6,6.5,5.1,4.0,53.0,33.5,0.9,1.9,3.9,7.4,0.7,1.5,1.49,0.59,3.47,4.04,3.75,0.96,1.14,2.1,2.91,12.32,3.83,5.58,2.66,1.17,5.72,2.4,2.15,1.08,2325.11
2548,12723,Dwyane Wade,N,Dwyane,76,Wade,Guard,Active,13,1610612741,Bulls,220,1139.0,44.0,143.0,39.0,200.0,490.0,42.0,137.0,2.0,130.0,533.0,7.0,84.0,29.0,131.0,173.0,7.0,68.0,0.0,48.0,1183.0,540.0,0.064,4.6,0.6,0.6,3.0,5.5,4.4,74.0,30.5,1.1,1.6,3.7,4.1,1.1,2.7,0.44,0.85,3.64,4.33,3.99,0.9,1.14,2.04,1.49,7.53,1.82,4.22,2.7,0.58,3.22,1.14,1.5,0.99,2509.34
2549,12622,Chris Kaman,N,Chris,84,Kaman,Center,Active,13,1610612757,Trail Blazers,265,39.0,4.0,8.0,1.0,2.0,21.0,4.0,1.0,0.0,6.0,19.0,1.0,4.0,1.0,1.0,9.0,1.0,1.0,0.0,3.0,43.0,20.0,0.512,0.7,0.1,0.1,1.1,0.2,0.2,16.0,7.0,0.4,0.9,0.2,1.5,0.1,0.5,0.31,0.25,3.59,3.98,3.79,0.2,0.25,0.44,1.01,3.43,0.71,1.71,0.5,0.57,1.71,0.5,0.64,0.14,128.8
2550,13103,Kirk Hinrich,N,Kirk,76,Hinrich,Guard,Active,13,1610612737,Hawks,190,67.0,62.0,10.0,5.0,16.0,23.0,55.0,10.0,7.0,3.0,25.0,24.0,4.0,4.0,4.0,6.0,20.0,6.0,4.0,1.0,129.0,49.0,0.295,1.6,0.0,0.1,1.3,0.3,0.3,46.0,13.7,0.2,1.4,0.7,1.5,0.3,0.7,0.13,0.07,4.04,4.86,4.45,0.46,0.56,1.02,1.14,5.48,1.17,3.17,1.69,0.6,2.45,0.83,1.02,0.6,926.9
2555,13171,Nick Collison,N,Nick,82,Collison,Forward,Active,12,1610612760,Thunder,255,107.0,2.0,53.0,1.0,5.0,20.0,2.0,13.0,0.0,15.0,50.0,0.0,25.0,1.0,2.0,7.0,0.0,10.0,0.0,5.0,109.0,50.0,0.156,0.9,0.3,0.2,1.7,0.6,0.4,59.0,11.9,1.2,1.8,0.7,2.9,0.3,0.8,0.41,0.82,3.81,4.46,4.14,0.38,0.44,0.82,1.02,4.75,1.78,1.95,0.9,0.43,2.17,1.03,0.71,0.36,748.12
2561,13229,David West,N,David,81,West,Forward,Active,13,1610612744,Warriors,250,441.0,7.0,96.0,7.0,19.0,260.0,7.0,15.0,0.0,44.0,241.0,3.0,71.0,5.0,10.0,123.0,3.0,7.0,0.0,25.0,448.0,244.0,0.423,1.8,0.7,0.3,3.0,1.0,0.8,78.0,18.0,0.9,1.8,1.2,4.0,0.6,0.9,0.78,0.67,3.54,3.99,3.77,0.52,0.61,1.13,1.85,7.92,2.94,3.13,1.26,0.8,3.69,1.7,1.19,0.4,1749.54
2563,13109,Dahntay Jones,Y,Dahntay,78,Jones,Guard-Forward,Active,12,1610612739,Cavaliers,225,12.0,2.0,2.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,14.0,6.0,0.214,2.0,2.0,2.0,4.0,0.0,0.0,1.0,42.4,1.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,4.21,4.23,4.27,1.46,1.49,2.95,2.0,17.0,3.0,12.0,8.0,1.0,8.0,1.0,6.0,5.0,45.0
2564,12634,Boris Diaw,N,Boris,80,Diaw,Center-Forward,Active,13,1610612762,Jazz,250,314.0,69.0,114.0,11.0,34.0,74.0,68.0,6.0,1.0,75.0,177.0,25.0,72.0,8.0,24.0,20.0,25.0,3.0,0.0,50.0,383.0,202.0,0.232,2.3,0.3,0.2,2.3,1.0,0.7,76.0,18.2,0.8,1.3,1.2,3.1,0.3,1.3,0.64,0.46,3.81,4.6,4.21,0.56,0.72,1.28,1.44,6.81,2.6,2.77,1.52,0.56,3.04,1.53,0.95,0.51,2291.4
