player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_overall,d_fga_paint,d_fga_perim,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_ppm_overall,d_ppm_paint,d_ppm_perim,pass_total
2400,12837,Drew Gooden,N,Drew,82,Gooden,Forward,Active,14,1610612764,Wizards,250,217.0,59.0,29.0,0.0,5.0,140.0,59.0,8.0,0.0,5.0,87.0,23.0,9.0,0.0,5.0,51.0,23.0,3.0,0.0,3.0,276.0,110.0,0.516,1.0,0.2,0.3,3.0,0.9,0.7,51.0,16.9,1.4,1.8,1.1,4.4,0.4,0.5,0.59,1.08,3.87,4.27,4.08,0.55,0.61,1.15,6.7,1.85,3.68,2.79,1.17,1.17,-0.03,0.041,-0.052,1127.1
2403,12483,Nene,N,Nene,83,Hilario,Center-Forward,Active,14,1610612745,Rockets,250,596.0,5.0,157.0,13.0,48.0,297.0,5.0,2.0,0.0,28.0,306.0,1.0,90.0,9.0,40.0,106.0,1.0,0.0,0.0,16.0,601.0,307.0,0.306,1.8,0.3,0.6,3.9,3.0,1.8,67.0,25.3,1.3,2.7,3.3,5.1,1.0,1.9,0.94,0.75,3.67,4.07,3.86,0.79,0.84,1.63,8.75,2.96,3.93,4.04,1.58,1.52,0.004,-0.054,0.004,1800.29
2405,12419,Amar'e Stoudemire,N,Amar'e,82,Stoudemire,Forward-Center,Active,14,1610612748,Heat,245,486.0,4.0,165.0,7.0,32.0,156.0,3.0,2.0,1.0,57.0,273.0,0.0,105.0,3.0,25.0,58.0,0.0,1.0,0.0,31.0,490.0,273.0,0.129,0.8,0.6,0.7,3.7,3.2,2.3,59.0,21.1,1.9,2.7,3.2,5.6,0.5,1.3,1.28,1.48,3.65,4.02,3.84,0.63,0.73,1.37,8.29,4.17,2.31,3.88,2.22,0.95,-0.013,-0.07,0.03,1324.14
2406,13397,Caron Butler,N,Caron,79,Butler,Forward,Active,14,1610612758,Kings,228,177.0,219.0,17.0,0.0,7.0,138.0,218.0,11.0,1.0,3.0,78.0,83.0,8.0,0.0,4.0,55.0,82.0,7.0,1.0,3.0,396.0,161.0,0.524,1.0,0.1,0.1,2.2,0.8,0.7,78.0,20.8,0.3,1.5,0.6,2.5,0.6,0.6,0.4,0.1,3.65,4.5,4.08,0.62,0.8,1.42,6.31,1.55,3.62,2.91,1.17,1.35,0.018,0.148,0.01,1933.62
2419,13411,Tayshaun Prince,N,Tayshaun,81,Prince,Forward,Active,14,1610612750,Timberwolves,212,335.0,67.0,44.0,4.0,14.0,205.0,67.0,20.0,0.0,36.0,146.0,31.0,23.0,3.0,12.0,78.0,31.0,11.0,0.0,11.0,402.0,177.0,0.42,1.6,0.3,0.2,2.7,1.1,0.8,58.0,24.1,0.9,0.9,1.0,3.6,0.5,0.6,0.69,0.46,3.75,4.39,4.07,0.75,0.89,1.64,7.28,2.26,3.66,3.21,1.31,1.31,0.001,-0.009,-0.008,1633.86
2422,13489,John Salmons,N,John,0,Salmons,,Inactive,12,0,,0,22.0,26.0,0.0,0.0,2.0,17.0,25.0,3.0,1.0,0.0,8.0,8.0,0.0,0.0,1.0,4.0,7.0,3.0,1.0,0.0,48.0,16.0,0.458,0.6,0.2,0.0,0.8,0.2,0.1,21.0,12.8,0.2,1.2,0.2,1.0,0.4,0.2,0.1,0.0,3.76,4.3,4.05,0.39,0.48,0.87,2.9,1.0,1.65,1.6,0.75,0.65,0.11,0.161,0.017,217.98
2430,12780,Carlos Boozer,N,Carlos,81,Boozer,Forward,Active,12,1610612747,Lakers,258,743.0,0.0,211.0,3.0,41.0,385.0,0.0,10.0,0.0,62.0,371.0,0.0,135.0,3.0,33.0,137.0,0.0,5.0,0.0,38.0,743.0,371.0,0.24,1.3,0.2,0.9,5.2,2.1,1.3,71.0,23.8,1.6,2.6,1.5,6.8,0.6,1.3,1.23,0.97,3.63,3.95,3.8,0.71,0.81,1.51,7.67,2.41,3.83,3.5,1.59,1.41,-0.005,0.06,0.0,2111.54
2440,13401,Matt Barnes,N,Matt,79,Barnes,Forward,Active,13,1610612758,Kings,226,248.0,375.0,107.0,5.0,58.0,52.0,373.0,13.0,2.0,6.0,141.0,136.0,64.0,3.0,46.0,16.0,136.0,3.0,0.0,2.0,623.0,277.0,0.581,1.5,0.7,0.4,3.3,1.3,1.0,76.0,29.9,0.7,3.2,1.2,4.0,0.9,1.1,0.55,0.35,4.02,4.71,4.36,1.04,1.13,2.17,10.86,2.36,6.54,4.63,1.49,2.33,-0.015,0.041,-0.008,1878.72
2446,13692,Rasual Butler,Y,Rasual,0,Butler,,Inactive,13,0,,0,282.0,235.0,45.0,4.0,15.0,180.0,233.0,17.0,2.0,9.0,127.0,91.0,24.0,3.0,13.0,56.0,89.0,13.0,2.0,7.0,517.0,218.0,0.523,0.8,0.3,0.2,2.3,0.9,0.7,75.0,20.1,0.4,1.3,0.7,2.6,0.4,0.6,0.46,0.13,3.91,4.54,4.23,0.64,0.77,1.42,8.1,1.84,4.46,3.57,1.26,1.59,0.01,0.105,-0.004,1198.06
2449,13349,Luis Scola,N,Luis,81,Scola,Forward,Active,9,1610612751,Nets,241,622.0,20.0,189.0,6.0,24.0,336.0,20.0,8.0,0.0,21.0,295.0,5.0,117.0,5.0,13.0,124.0,5.0,4.0,0.0,13.0,642.0,300.0,0.392,1.3,0.2,0.6,4.8,2.8,2.0,81.0,20.5,1.7,2.4,2.7,6.5,0.6,1.2,1.3,1.25,4.0,4.56,4.29,0.66,0.8,1.46,6.68,2.11,2.74,3.03,1.16,1.01,0.002,-0.05,-0.003,2621.97
